country_name,channel_name,fiscal_year,constant_amount
World,"Chemonics International, Inc.",2017,712096445
Iraq,U.S. Government - Department of State,2011,781505185
France,U.S. Government - Other,1950,5895993180
Iraq,Bechtel Corporation,2004,898339862
World,U.S. Government - Other,1987,1331708640
World,International Development Association,2017,701691474
World,International Development Association,2017,701691474
Israel,U.S. Government - Department of Defense,1974,2878010118
Iraq,U.S. Government - Department of State,2004,882198633
Iraq,Enterprise - United States Other,2004,878977569
Russia,U.S. Government - Department of Energy,2007,760235724
World,U.S. Government - Other,1946,6705385428
Pakistan,U.S. Government - Department of Defense,2010,726814169
World,"Chemonics International, Inc.",2018,631241803
Iraq,U.S. Government - Department of State,2009,725881960
World,U.S. Government - Department of State,2005,788830958
Vietnam (former South),U.S. Government - Other,1967,3657965701
Egypt,U.S. Government - Other,1978,1927708398
Italy,U.S. Government - Other,1949,5190075694
Russia,U.S. Government - Department of Energy,2008,717336842
Iraq,Enterprise - United States Other,2004,799122641
World,"Global Fund to Fight AIDS, Tuberculosis and Malaria",2005,765000983
Jordan,U.S. Government - Department of Defense,2003,806516224
Jordan,U.S. Government - Department of Defense,2003,806516224
Egypt,U.S. Government - Other,1977,1999373542
Pakistan,Government of Pakistan,2002,815882513
Pakistan,Government of Pakistan,2002,815882513
World,U.S. Government - Other,1992,982248443
Israel,Government of Israel,2003,795967419
Israel,Government of Israel,2003,795967419
Vietnam (former South),U.S. Government - Other,1966,3616697136
Afghanistan,U.S. Government - Department of State,2014,629096568
World,U.S. Government - Other,1976,2114326545
Egypt,U.S. Government - Other,1994,927127409
Egypt,U.S. Government - Other,1994,927127409
Iraq,U.S. Government - Department of Defense,2017,602778913
Russia,U.S. Government - Department of Energy,2005,743343457
Egypt,U.S. Government - Other,1980,1554610683
Egypt,U.S. Government - Other,1979,1690262930
Turkey,U.S. Government - Department of Defense,1984,1224105461
Vietnam (former South),U.S. Government - Other,1966,3553321146
World,Partnership for Supply Chain Management,2013,628643909
Russia,U.S. Government - Department of Energy,2008,677626901
Israel,Government of Israel,2002,775201251
Israel,Government of Israel,2002,775201251
Vietnam (former South),U.S. Government - Other,1975,2157776079
Iraq,Enterprise - United States Other,2005,713737080
World,U.S. Government - Other,1975,2149407719
Iraq,U.S. Government - Department of State,2005,709049305
Israel,U.S. Government - Department of Defense,1982,1244062429
Egypt,U.S. Government - Department of Defense,1981,1330752480
Vietnam (former South),U.S. Government - Other,1966,3307580743
World,"Global Fund to Fight AIDS, Tuberculosis and Malaria",2020,518682163
World,"Global Fund to Fight AIDS, Tuberculosis and Malaria",2020,518682163
World,U.S. Government - Other,1991,904903410
World,"Global Fund to Fight AIDS, Tuberculosis and Malaria",2015,564919716
World,"Global Fund to Fight AIDS, Tuberculosis and Malaria",2015,564919716
Egypt,U.S. Government - Other,1976tq,1861949358
Mexico,U.S. Government - Department of State,2010,613494995
Middle East Region,U.S. Government - Department of Defense,2017,545565999
Iraq,Bechtel Corporation,2006,651905509
Russia,U.S. Government - Department of Energy,2006,650733292
Afghanistan,U.S. Government - Department of State,2012,582179733
Israel,U.S. Government - Department of Defense,1971,2592592593
Israel,U.S. Government - Other,1978,1639088355
Israel,U.S. Government - Other,1980,1395163433
Israel,U.S. Government - Other,1979,1516902629
World,U.S. Government - Other,1981,1258165981
India,U.S. Government - Other,1966,3161486898
World,Partnership for Supply Chain Management,2015,540986612
World,International Development Association,2017,521365330
World,International Development Association,2017,521365330
World,Partnership for Supply Chain Management,2016,530771715
Pakistan,U.S. Government - Department of Defense,2010,582056602
Central America Region,U.S. Government - U.S. Agency for International Development,1999,729383749
World,U.S. Government - U.S. Agency for International Development,1999,725230192
